"","titulo","descricao","theme","location","target"
"4866","AUTISM AWARENESS 5KM RUN","The Autism Awareness 5KM Run will build a therapy center for children living with autism and provide free occupational and speech therapy services to over 300 children from rural areas in Kenya. Your donation to this project ensures maximum autism awareness is created in Kenya's rural areas and access to crucial therapy and education services is guaranteed for free.","Education","Kenya",11
"4867","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Julia, Kayla, Anahat, Jastirath, and Tiffany have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"4868","Restore Hearing to 100 Children in Panama","Early Hearing Detection and Intervention is not usually done on all newborns in Panama. The Fundacion Oir es Vivir aims to do hearing detection in orphanages, child care centers, pre-school, and children to age six. In capturing hearing problems at an early age, and doing the appropriate intervention, such as the use of a hearing aid the child can lead a normal academic and behavioral progress, and become productive in his/her life. Quality of life improved!","Education","Panama",11
"4869","Coronavirus Emergency in Italy","The Covid-19 has been spreading fearlessly in Italy and Specchio dei tempi actively helping. We have donated machineries and equipment to hospitals and delivered grocery bags with food and products to the elderly and single moms, donating tablets to keep the children in school and giving out sanitizing kits to the structures. In addition we have just launched a new tender to support small businesses in Venice and help them get back on track. Help us obstructing Covid-19 and suppor those in need.","COVID-19","Italy",5
"4870","Climate Action Awareness Through a Shelter-Kenya","The project PHASE 1 (funded) will establish a Food & Eco forest for Agatha Amani House shelter and also a demo site. During the forests design and implementation, will include a training on food forestry and community outreach (Part II ,UNFUNDED) as a forest-local related initiative . The training targets 30 participants and outreach 50 pax.The forests will also help in water conservation and reduction of the effect of greenhouse gases thus mitigating climate change plus being a demo site .","Climate Action","Kenya",4
"4871","Feed 1200 children and 400 women during LOCKDOWN","Joy for Children Uganda (JFCU) is a non -profit child rights organization established in 2005 that exists to respond to the plight of vulnerable children in Uganda. For the past 10 years Joy for Children Uganda has been implementing the Kampala Slum Development Project. This project supports many disadvantaged children and children living with disabilities in slum with basic care supplies in education and skills. Majority of the caretakers/ parents of the children on our programs are benefiting","COVID-19","Uganda",5
"4872","Help Adults with Disabilities in Mexico Create Art","El Arca en Queretaro, welcomes 25 adults with intellectual disabilities, focusing on identifying each one's personal gifts. The staff stimulates creativity in activities such as painting, carpentry, dance, handicrafts, and baking. Respect and empathy foment emerging abilities and meaningful relationships. Mexican folk art has lead the beneficiaries toward greater self-confidence, alternate ways of expressing themselves, increased productivity, social recognition and inclusion.","Justice and Human Rights","Mexico",16
"4873","Help Khmer Social Workers Care for Foster Children","MRO owns three second-hand cars to provide transport and reintegration services to orphans and vulnerable children in Cambodia, including those cared for in our Emergency Foster Care program and those rescued from abusive situations. The cars (a 2001 Toyota Land Cruiser, a 2001 Toyota Highlander and a 1999 Kia Visto) carry out on average 178 missions per year to help about 850 vulnerable children. These cars are becoming unsafe to drive, and new ones are needed to continue our life-saving work.","Child Protection","Cambodia",2
"4874","SDG 4: Help All Children Access Education in Nepal","Education in Nepal is currently facing a number of issues from low quality, lack of access to poorer communities to unqualified and undedicated teachers. We know that education is the key to breaking the poverty cycle. This is why we are working to provide educational opportunities and resources to children in the more rural areas where we work, to help decrease drop-out rates as well as provide quality education to the children currently enrolled.","Education","Nepal",11
"4875","Planting native trees to save Hawaiian forests","Keau'ohana Forest Reserve on the Big Island is the largest and most intact rainforest remaining below 1,000 feet in Hawai'i. FTPF is partnering with Hawai'i Environmental Restoration to protect and restore this unique ecosystem through the propagation and planting of native tree species such as the 'ohe. This precious forest is a natural treasure, and the last of its kind -- with your support, we can continue to plant native trees there for future generations to benefit from!","Ecosystem Restoration","United States",10
"4876","""Seeds of Resilience: An Indigenous Women-Led Tree","Highland Support Project's reforestation efforts empower Indigenous women in the highlands of Guatemala by planting 1,000 trees. By employing a nursery run by Indigenous Mayan women, the project will mitigate the adverse effects of deforestation, such as erosion, soil infertility, and climate instability, bringing long-term environmental benefits. This reforestation project will engage the local community in sustainable agriculture while also increasing their incomes and economic resiliency.","Sustainable Agriculture","Guatemala",26
"4877","Leadership Initiatives Students Create Change","As members of Leadership Initiatives' (LI) International Internship Program, Joshika, Juhi, Gabby, and Lauren have been collaborating with local entrepreneurs, to address critical grassroots challenges facing small business owners in Bauchi, Nigeria. To transform lives, the team & LI are working to train vulnerable men and women in financial literacy and business management to empower & equip them to escape extreme poverty.","Economic Growth","Nigeria",9
"4878","Send 350 Girls to School in Ghana for a Year","Achievers Ghana plans to sponsor 350 girls in slum communities back to school this year, to provide free education for girls who come from the deprived and poorest sections of societies in slum communities in Ghana. This project gives girls in slum communities in Ghana access to better education and also extra curriculum activities geared towards empowering a girl child.","Education","Ghana",11
"4879","Give In-School Music Classes to Los Angeles Youth","ETM-LA serves approximately 19,000 students in low-income areas with weekly, yearlong music classes at no cost. We provide music teachers, instruments, and guidance for schools to sustain the program.","Education","United States",11
"4880","National Pet Food Bank Program","Humane Canada will establish an effective, efficient and sustainable model for a cross-Canada pet food bank program providing short term aid to companion animal guardians experiencing financial hardship. This program will help vulnerable companion animals to stay with their families during the deepening financial crisis.","Animal Welfare","Canada",0
"4881","Help us save the witch children of Nigeria","Land of Hope, founded in 2012, is leading the battle against superstition, fought through information and advocacy work in Nigeria, where thousands of children are accused of being witches. The children are stigmatized, abandoned by their family and local community, tortured and killed, or they end up dying from wounds and malnutrition. We try to rescue as many of them as possible and house them at our children's center where they are medically treated, protected, educated, and cared for.","Child Protection","Nigeria",2
"4882","Support Rohingya refugee women","ActionAid is coordinating response in Kutupalong-Balukhali, the world's largest refugee camp. We provide safe spaces for women and girls, food, emergency shelter, clean water, hygiene kits, and toilets, reaching more than 73,000 refugees. Our approach is all about supporting local leadership, women's rights, and advocacy for solutions to the crisis.","Gender Equality","Bangladesh",15
"4883","Empower Women and Girls through Menstrual Health","Through working with schools in Burkina Faso, BARKA recognized a need to address girls' menstrual health due to the lack of resources, proper information, affordable products and the stigmatization that surrounds this taboo topic. What began right here on Global Giving as part of the 2017 Girl Fund Campaign, has since sensitized and benefited over 6500 girls, boys, teachers and parents. It has now evolved into the nation's 1st major project to distribute menstrual cups to women and girls.","Gender Equality","Burkina Faso",15
"4884","FOR 15 3000 FAMILIES TO GET OUT POVERTY","This campaign uplifts rural poor communities especially women and youth living in extreme poverty by breeding rabbits. Kigezi Healthcare Foundation(KIHEFO) has been supporting families by giving five females and one male rabbit.Rabbits multiply fast and only eat vegetation. One female rabbit produces an average of 60 in a year and up to 20 female rabbits can be retained for breeding. This gives the family up to 1,600 if they eat 400 they can sell 1,200 at $3 and earn $3,600 per year or $10 daily","Food Security","Uganda",14
"4885","Grow Food for 100 Homes in Uganda (Wakiso area)","The community farming program started in May 2019 with the aim to empower households, increase food security, and improve nutrition. This project targets 100 households and 600 individuals including girls and boys, along their parents. Our specific goal is to improve nutrition and ensure these orphans and vulnerable children attend primary school at Mwererwe Church of Uganda. The lunch program keeps children coming to school and off the streets since they would not be fed a meal at home.","Education","Uganda",11
"4886","Support 50 Amputee Children in Syria","The conflict in Syria has resulted in the loss of limbs for many innocent children in the northern regions. We are seeking your support to provide financial assistance to 50 of these amputee children and help them secure their basic needs. Your sponsorship of $100 per month per child will bring hope and joy to their lives, and make a positive difference for six months. Join us in supporting these vulnerable children and making a meaningful impact in their lives.","Child Protection","Syrian Arab Republic",2
"4887","Protection of missing children","ASTRA - Anti Trafficking Action, is an independent grass-root organization, established in 2000, with the goal to contribute to the eradication of human trafficking. So far ASTRA has assisted over 572 victims of human trafficking during their recovery; among whom 34% were children. In response to an increasing number of missing children, in order to prevent and protect children from being exposed to violence, and the weaknesses of the search mech the 116000 European hotline for missing children.","Child Protection","Serbia",2
"4888","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, we have been working through our partnership with the Bauchi community, to address human rights abuses through advocacy and raising awareness through research, community workshops, and educational training programs. Working with LI, Matthew, Kaitlyn, Nicholas, Isabela, and Ethan aims to mobilize support, secure adequate funding, and empower local organizations to combat human rights violations.","Justice and Human Rights","Nigeria",16
"4889","Empowering young Zambian eco-leaders","This project aims to inspire young conservationists living in rural communities in eastern Zambia and to provide them with the tools needed to conserve their local wildlife. Benson Beza, a Chipembele student who was at University, sadly passed away earlier this year. He touched the lives of so many with his passion for conservation and determination to make a difference. As a tribute to his legacy, we will establish conservation awards for underprivileged students who embody his key attributes.","Wildlife Conservation","Zambia",27
"4890","Develop Leaders in At-Risk Communities, Costa Rica","Slums are neighborhoods where thousands of people live in abject poverty, separated by only tin walls. Young people who grow up surrounded by the oppressive helplessness of open sewage, scarce resources and little education face dramatic temptation to attempt to escape by choosing to make money through crime or illicit drug trade. Boy With a Ball's work has solved this problem by developing relational teams who walk into these communities to help youth walk into their dreams.","Education","Costa Rica",11
"4891","Bridging the education gap in Venezuela","This project will work with local, community-led organisations in Venezuela to reduce the education gap that has resulted from many years of complex humanitarian crisis, and has been further compounded by the pandemic. By providing incentives to stay in school, resources and training to improve the quality of education that kids receive, and opportunities beyond school, we will improve attendance, achievement, and aspirations. Because these children are the future. And they deserve a future.","Education","Venezuela",11
"4892","Improved Care and Protection of Girl Children","Salaam Baalak Trust is an Indian non-profit and non-governmental organisation which provides a sensitive and caring environment to street and working children in Delhi, India. Children who live in our residential homes are inked with education, skill building, and medical services. In order to ensure increased accessibility to better quality care, we urgently require a vehicle to ferry the children in a safe and efficient manner...protected from traffickers and accidents.","Child Protection","India",2
"4893","Create college opportunities for Latino students","Scholars Latino Initiative (SLI) supports Latino/a/x high school students with college access through rigorous academic challenge, leadership development, scholarships, and supportive mentorships.","Education","United States",11
"4894","Provide Life-Changing Music for Fragile Students","With your support, Guitars & Ukes in the Classroom will provide instruments, medical & physical adaptive tools & teacher/caregiver training in music facilitation so students experiencing profound life altering medical, psychological & physical conditions due to chronic, longterm and terminal illnesses and injuries, as well as those removed from their homes by Child Protective Services and awaiting foster care can receive the healing, learning and life-changing power of learning to make music.","Education","United States",11
"4895","A House for Cats and Kids","Given our experience on rescue, care, and re-homing, of unwanted, homeless and injured dogs and cats, we would like to work helping kids with special needs by bringing them together along with cats that have endured difficult conditions. Our project intends to provide the facilities for a group of children with special needs to interact with 30 rescued cats. Our main objective is to build a shelter in the Bogota Savanna where cats and kids can interact and play.","Animal Welfare","Colombia",0
"4896","The Livelihood Project","This project targets a group of small business owning women with low incomes. It offers the opportunity of gaining a sustainable source of income by providing participants with low-interest loans that are unattainable through the banks here in Ghana. In addition, the women are provided with basic business training to help them make the most of their loans. This project supports the economic participation of women, promotes gender equality, and improves the economic welfare of women in Ghana.","Economic Growth","Ghana",9
"4897","Provide Summer Camps for 500 Youth in Transylvania","Care2Travel runs Summer Camps in Transylvania which aims to provide disadvantaged children with week-long camps to learn English via games, sport and arts & crafts. We give them the chance to play and interact with other children and with local and international volunteers. Our teams create weekly schedules of activities that keep the children entertained and active, as well as language classes run by native English speakers to help the children practice English.","Child Protection","Romania",2
"4898","COVID-19 Food Relief Fund SUKRUPA Bangalore INDIA","SUKRUPA works with economically backward communities mostly first-generation learners children of migrant daily wage workers, especially girls. Due to The COVID, -19 families are deeply impacted and are struggling for basic needs. You can help us provide groceries, vegetables, snacks and stationaries for 400 families. At $150/- each month each family will receive groceries, vegetables, snacks, stationaries, and creative material. Please consider donating. Your gift ensures a positive change","COVID-19","India",5
"4899","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Sydni, Amanda, and Shayla have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"4900","Save the Gili Turtles & Help to Build a Hatchery","Gili Islands are famous for year-round experiences with endangered Green and Hawksbill turtles. We aim to create a safe haven for turtle nests that currently are under threat from poaching, trampling, storm surges and pollution, with a hatchery on the beach for protected incubation before immediate release to the ocean. Along with this, we want to boost eco-tourism with a Turtle Education Centre for guests to immerse themselves in the mysterious life of a sea turtle without cruel exploitation.","Wildlife Conservation","Indonesia",27
"4901","Briquettes for womens' income, health and climate","Building simple manufacturing presses and skilling women on making and sale of briquettes will drive both significant income and significant improvement in household health. The first phase of this project will meaningfully increase income for 200 families and impact 100 additional lives with better income security. On population health, we estimate the work will reduce smoke-related negative health in 5,000 people by (75%). A secondary benefit will contribute to slowing deforestation.","Gender Equality","Uganda",15
"4902","The Toa Nafasi Project","The Toa Nafasi Project is an educational program, not a separate centre or school, that aims to support grade one and two students in the Tanzanian school system who are experiencing learning difficulties. We train young women from the local community as tutors for these students and provide medical and psychosocial referrals. In 2019, The Project expanded to an additional five schools and will be implemented in a further two schools in 2020, making a total of 11 schools.","Education","Tanzania, United Republic of",11
"4903","Help indigenous women conserve the environment","Our goal is to restore the forests that preserve rivers and springs in the mountains of the indigenous territory of Boruca, Costa Rica, together with 25 benefited indigenous women and their families and more than 100 annual volunteers who visit the community. Through the planting of native trees, regenerative agriculture and cultural tourism. The project requires continuous funds for the trees and their maintenance, training, salaries, among others, so that the community continues to restore.","Ecosystem Restoration","Costa Rica",10
"4904","Help secure vital community water in the Andes","The Bolivian communities of North Potosi are located high in the Andes, at an altitude of about 3,800m above sea level. The introduction of agroforestry and water management techniques to the local, rural community is changing the lives of almost 300 families who live here. But more water harvesting structures are urgently needed to restore the ecosystem and natural function of the land, enabling a sustainable, long-term solution.","Ecosystem Restoration","Bolivia",10
"4905","University Scholarships for Women in Rwanda!","This project provides ten full university scholarships (undergraduate programs) to young women in Rwanda who have been affected directly or indirectly by the 1994 genocide against Tutsi, or are orphaned or disabled, and who otherwise would not be able to afford their schooling. It is our hope that through cross-cultural, financial and intellectual support, they will go on to change their communities for the better.","Education","Rwanda",11
"4906","Support the rights of 125 children to education","Since 2000, BASICS has been committed to its mission in Ghana by protecting the basic human rights of children to education, shelter, food and safety. We aid women and children living in unsafe environments and engaging in harmful activities (illiteracy, child labor, trafficking, child marriage, teenage pregnancy to school dropouts) which hinders their overall health, well-being and developmental growth. Our programs provide access to education, skills and opportunities to empower.","Education","Ghana",11
"4907","Support Globalteer Worldwide","Globalteer, a UK registered Charity, provides funding, support, and volunteers for 27 projects within 9 countries in Latin America and South East Asia. We help education, community, conservation, and animal rescue projects to achieve their goals while upholding our charitable objectives. All of our projects and partners are working to provide responsible, sustainable solutions to the issues their communities face. Donations to Globalteer allow us to support all of our projects across the globe!","Education","United Kingdom",11
"4908","Provide life changing education to children in DRC","Kimbilio has opened an amazing primary school, the only one in the area, offering the chance for former street children & local children living in poverty, to attend school! We will be giving the children the very best opportunities in life. Your support will enable more children to attend, as well as offering quality education. We are the only school in the area to provide computers and IT training, putting Kimbilio students ahead of the game when it comes to further education & finding a job.","Education","Congo, Democratic Republic of the",11
"4909","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Rebecca, Leena, Ruby, Elly, Tatianna, Abigail, and Sarah, have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"4910","Educational digital skills for children at risk","This project aims to guarantee access to formal education through the implementation of digital skills in children and adolescents at risk in the context of the post-COVID pandemic. The project will provide formal education, pedagogical support, homework support, internet access, workshops to improve digital skills and access to online educational content","Child Protection","Mexico",2
"4911","Help the most under-served pets in Sacramento","Good Sense Dogs wishes to continue our work with the most under-served and in need pets, pet owners and pet lovers of the Sacramento Valley. Our four programs help to make Sacramento a kinder place for both animals and people alike. We provide assistance to pet owners who need help caring for their animals, educate groups about pet care and ownerships who do not receive the information elsewhere, rescue and rehome animals in dire situations, and make therapy dog visits to seniors and the poor","Animal Welfare","United States",0
"4912","Empower and educate teenage mothers in Chile","Join us to continue providing education to 11 teenage mothers in Chile who, despite their situation, are willing to continue studying and to achieve better future prospects by developing their self-esteem through quality education in a safe environment based on our Christian values of justice, respect and solidarity. Your donations goes towards school fees, learning materials, guidance and support for their children","Education","Chile",11
"4913","A ride to a brighter future","In Cambodia, many students have to travel a long distance between home and school. According to research conducted by USAID, long-distance travelling accounted for 10% of the total dropouts. A bicycle allows a student to get to school, and also take one or two siblings alongside. At the beginning of 2019, we initiated a project ""A ride to a brighter future"", we provided 100 bikes to the students in a rural part of Siem Reap. We want to extend our goal for the year 2020 to provide 300bikes.","Education","Cambodia",11
"4914","Fair Haven Rape Crisis Center General Support","Fair Haven RCC is the only Stand-Alone Rape Crisis Center in Indiana & provides survivors of sexual violence with a 24/hour crisis response line. Our Direct Service Advocates respond to all 10 emergency rooms within our community. Advocates are: professionally trained, the continuum of care and can help navigate the complex waters of the medical & judicial system FREE of charge! You are not alone! This was not your fault! We believe you!","Child Protection","United States",2
"4915","Help save the jaguar in the Yucatan Peninsula","Since 2004, our project has focused on gathering information about local population status, protecting important areas of the Jaguar, and minimizing conflicts with ranchers. - For 19 years we've been studying the natural history of jaguars and their prey to ensure their protection and identify their priority areas. - Protecting Jaguars lets us save much more species in tropical forests and preserve the ecosystem services they provide directly and indirectly to humans and nature.","Wildlife Conservation","Mexico",27
"4916","Children's Respite Home & Outreach Project, Haiti","Our Children's Respite Home, Maison de Benediction, cares for some of Haiti's most at risk and vulnerable children, providing care to children with physical and developmental special needs.","Justice and Human Rights","Haiti",16
"4917","Empowering grandmothers for children's education","60 grandmothers and 100 teachers will be trained to promote values education in schools. Passing on positive cultural values and traditions is important to families, but schools rarely teach them. Grandmothers, guardians of tradition, are a resource for families but also for schools. Grandmother-Teacher Workshops strengthen collaboration between them to teach children both ""universal"" knowledge and ""traditional"" values to help them thrive in a challenging world.","Education","Senegal",11
"4918","Transform The Life Of Homeless People In Venezuela","Through the Panabus Program we provide necessary attention to 2,400 homeless people a year, dignifying them as human beings and promoting their social reintegration. We make this possible through especially equipped transportation units, and a specialized team that provides to each individual fundamental primary services such as shower, wc, handbasin, clean cloth, haircut, healthcare, nutrition and supports them through their rehab process towards their social reintegration and family union.","Safe Housing","Venezuela",24
"4919","Classroom Sponsorship","Chikumbuso Women and Orphans Project runs a free school for orphans ranging from kindergarten through seventh grade. This education is 100% free which means that Chikumbuso purchases all school supplies, clothing, books, and feeds the children lunch everyday. Presently, over 350 children attend our school and we need your help to keep them there. Please help us help them by pledging to support a classroom.","Education","Zambia",11
"4920","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Diya, Arshitha, and Shravya have been working with LI to research and learn about public health crises and potential solutions in Bauchi State, Nigeria. To transform lives, the team & LI are working to create a public health campaign to raise awareness and educate the people of Bauchi on these various public health issues.","Physical Health","Nigeria",20
"4921","Save dogs in the Agadir City Pound from Starvation","In 2020 shocking images of starving dogs held in the cities dog pound shocked animal lovers all over the world. We are the only organisation who are actively working to make sure these scenes are never repeated. Each month we deliver 3000 USD of food to the dogs in the pound to save them from starving. We also pay for extra staff to make sure the animals are looked after and visit regularly to rescue the very young or old dogs, as well as those injured or sick.","Animal Welfare","Morocco",0
"4922","Build a Horse Therapy Centre for Disabled Children","This project aims to create a safe relaxing environment for disabled children and their families by building a horse therapy centre for residential stays and an equestrian riding arena. The children will attend therapeutic riding sessions twice a day, bond with horses, and enjoy beautiful surroundings. Their parents will have time to get away from the daily routine and experience respite. Our organization will provide all that to the disabled children and their families for free.","Physical Health","Bulgaria",20
"4923","Restoring Healthcare to Women and Girls in Liberia","We are working every day to improve the health and welfare of the people of Margibi County, Liberia with an emphasis on preventative healthcare education for women and girls. While focused on community-based preventative care, we also run an acute care clinic from in Kakata taking care of the immediate medical needs of over 200,000 people. Since 2013 the number of clinic patients has grown from 2,500 to over 17,500 and over 155,000 have participated in health education programs, 90% female.","Gender Equality","Liberia",15
"4924","Help Save Primates and their Habitat","Located in one of the top twenty-five biodiversity hotspots, the project promotes the conservation, preservation and protection of six primate species including the nationally threatened Angolan colobus monkey and their disappearing coastal forest habitat. Programs focus on habitat conservation and community links, animal rescue/rehabilitation, and education. It is the only primate rehabilitation centre in East Africa and the only primate conservation organization operating in Kenya.","Wildlife Conservation","Kenya",27
"4925","Rescue baby Kenya","Diani Children's Village was initiated in 1994 with intent to Shelter abandoned, abused, and vulnerable children. With poverty being the leading problem, many people can't take care for their infants and end up abandoning them. DCV steps in and takes custody of these children. A medical checkup is undertaken and the best care is administered. Background checkup to trace any living relatives is done and reintegration is encouraged. For those without family a adoption process will start.","Child Protection","Kenya",2
"4926","Protect girls in India from violence in school","Gender-based violence and discrimination against women and girls is widespread in India and often begins at school. This project works equally with boys and their fathers, as well as girls and their mothers to challenge traditional gender attitudes. There is a particular focus on school-age children, whose attitudes will do the most to shape future gender norms. For those particularly at risk, we provide a high-quality residential hostel for them to live and study safely.","Gender Equality","India",15
"4927","Menstrual Equity for Girls in Latin America","Days for Girls (DfG) empowers social enterprise leaders across Latin America in their community outreach to women & girls with DfG menstrual pads and health education. Local leaders are best positioned to break through cultural stigmas associated with menstruation. We're pleased to expand our outreach beyond Guatemala to include Haiti, the Dominican Republic (DR), Costa Rica, and Ecuador. Together, let's promote menstrual dignity to unleash their unlimited potential in this life-changing work!","Gender Equality","Guatemala",15
"4928","Support 100 Filipino Women Migrant Returnees","The Project aims at supporting alternative livelihood for 100 Filipino women migrant returnees through ""SIKHAY"". Women acquire new skills in sewing and hand-loom weaving and how to handle tasks, which eventually leads to women's economic self-reliance and empowerment. SIKHAY requires funds for further expansion to reach out to more women.","Gender Equality","Philippines",15
"4929","A Healthier Future for South Sudan's Families","South Sudan's health infrastructure has been decimated by years of war. Providing medical care, funding clinics, and training health workers, will save lives, help these communities rebuild, and restore hope.","Physical Health","South Sudan",20
"4930","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Harshitha, Sahasra, Esha, Vibhavi, and Sarvesha have been collaborating with local entrepreneurs, to address critical grassroots challenges facing small business owners in Bauchi, Nigeria. To transform lives, the team & LI are working to train vulnerable men and women in financial literacy and business management to empower & equip them to escape extreme poverty.","Economic Growth","Nigeria",9
"4931","Foster Growth and Healing for 200 Cambodian Youth","An at-risk youth in Cambodia needs a safe place to grow and develop. Mission DOVE Cambodia nurtures 200 at-risk Cambodian youth to reach their potential through leadership clubs, reading clubs, English classes, art and computer classes, and free counseling. Youth can join clubs and small groups in DOVE's safe learning environment in Phnom Penh.","Education","Cambodia",11
"4932","Educate and empower at risk children through dance","DANZAREA is a dance and educational project which gives at-risk children and teenagers in Panama the opportunity to learn (from home) contemporary dance, and enjoy the benefits of practicing dance in their mental and physical health. We supply their basic needs of food and medicine, while helping our students and their families to thrive regardless the extreme situation they live in their communities at the present time.","Education","Panama",11
"4933","Project Tai O Stray Cat","The problem of stray cats has never been taken seriously due to the lack of resources and ignorance by the government. With our mission and objectives, we need a lot of funding to provide medical care and neutering the stray cats, and to prevent them from starving. The 'Tai O Stray Cats Home Project' helps stray cats by means of providing daily living support and neutering to control its population. It also provides proper care to rescued new born cats until they are adopted.","Animal Welfare","Hong Kong SAR",0
"4934","Arts as our bridge to Equity during COVID-19","The goal of Story Tapestries has always been to engage at-risk, high-need communities using the arts as the tool for meeting objectives in Literacy, STEAM, Social-Emotional, Self and Community development. Our greatest strength has been our ability to custom-design programs to meet the specific needs of a community. This has taken on new meaning as our global community and local residents in the Greater Washington Region and across Maryland are coping with the spread of COVID-19.","COVID-19","United States",5
"4935","Support the completion of Mkanthama school block","Mkanthama is one of the poorest rural communities in Lilongwe where access to education for children is very hard to find. The next school close to where our school project is situated is about 3 Kilometres away which is very difficult for children to walk to. In 2017 we started this school project so that children in this area can also have the opportunity to go to school and learn. Due to the closure of schools because of Covid-19 we started constructing a school block which has 3 classrooms.","Education","Malawi",11
"4936","Good Education for 3,000 Brazilian Kids post Covid","This Project will offer twice monthly sessions of story telling, puppet theatre and reading mediation to 3,000 elementary school children to to help recover the education they have lost through 18 months of school closures due to Covid. It will be delivered by 12 specially trained local high school children.","Education","Brazil",11
"4937","Providing life-saving machines for heart babies","Help us give every newborn the test that could save their life. Every year 1,000 babies leave hospital with their heart defect undetected, potentially putting their lives in grave danger. Our Test for Tommy Campaign will further improve early detection rates by placing pulse oximetry machines in maternity wards across the UK. Pulse Oximetry testing helps to detect heart defects by measuring oxygen levels (oxygen saturation) in the blood.","Physical Health","United Kingdom",20
"4938","Providing Education & Training to Women in India","Although India is one of the fastest-growing economies in the world, that is not the case for a large portion of the population who are struggling with high youth unemployment, poverty as well as lack of access to quality education. Working with existing NGO's & organisations on the ground, we aim to empower communities by providing relevant training in life-skill development, vocational training including in IT literacy, providing access to sports activities & an improved learning environment.","Education","India",11
"4939","Bricks/Blocks Campaign","Construction continues at our permanent campus East of Accra. Providing safe pathways and lighting throughput the campus continues. Housing for students will be the next phase of our building plan. Palm Institute is accredited to run three & four year degree programs. Palm Institute will commence the BSc. in Business Information Technology 4-year degree program in January 2021. Class sizes are small to ensure every student is given the attention they deserve. At Palm no student is left behind.","Education","Ghana",11
"4940","Leadership Initiatives Students Creating Change","As members of Leadership Initiatives' (LI) International Internship Program, Team 23201 has been collaborating with local entrepreneurs, to address critical grassroots challenges facing small business owners in Bauchi, Nigeria. To transform lives, the team & LI are working to train local entrepreneurs in financial literacy and business management. Through this, vulnerable men and women will develop capacities in vocational & business skills to empower & equip them to escape extreme poverty.","Economic Growth","Nigeria",9
"4941","Support Education and Livelihoods in rural Nepal","600 women can escape poverty through financial independence. By providing training in microfinancing, crop management and literacy, women are able to develop their own businesses. Dalit children also can access education and mothers are made aware of how crucial education is in overcoming discrimination and poverty. In the challenging landscape of rural Nepal, the combination of livelihood and education focus increases income and changes cultural attitudes, fostering sustainable independence.","Gender Equality","Nepal",15
"4942","Read On! - Books for 200 deaf children in Zimbabwe","Deaf children in Zimbabwe have been out of school for 12 out of the last 18 months. There are no libraries, no online lessons, and no resources for home schooling. Nzeve will provide picture books for deaf children in Manicaland province of Zimbabwe to borrow, so they can enjoy learning with their families and friends even during lockdown periods.","Education","Zimbabwe",11
"4943","JOY is a kindergartener playing the violin.","The Yamhill Enrichment Society (YES) wants funds to expand its JOY music program to cover K through 5th grades. Based on the internationally successful El Sistema program to harness the power of music for social change, JOY brings joyful learning, discipline, and achievement to an underserved population in rural Yamhill County, Oregon.","Arts and Culture","United States",1
"4944","Atlas Corps: Empower Women Globally (#GivingToday)","Celebrate #diversityandinclusion! Let's inspire female leaders! WEF's 2017 Global Gender Gap Report found that the presence/participation of women in leadership roles is a crucial factor in closing the opportunity gap. Atlas Corps empowers women globally by engaging social change leaders in 12-18 month Fellowships. Join Atlas Corps as we focus on empowering women to tackle the most critical social issues at home, in USA, and world!","Gender Equality","United States",15
"4945","Braille books for 4000 visually challenged kids","This project provides Braille books for 4000 visually challenged students in South India.This will help them become independent and own personal copies of the books as that is lacking now.This will help in widening their horizons and gaining immense knowledge. Indian Association for the Blind (lAB),based in Madurai, South India, is a well-known non-profit organization working at the grass roots level for education, employment and rehabilitation of people with visual challenges from rural areas.","Education","India",11
"4946","Food Baskets for Ugandan Families","Project Have Hope has always been about creating lasting and sustainable change to create independence. However, sometimes a little extra help is needed. The economic toll that COVID-19 wrought is ongoing. In addition to providing emergency food baskets to families as needed, we have implemented a breakfast program to serve 200+ children breakfast ecah morning.","Food Security","Uganda",14
"4947","Access to education for children in conflict zones","Since 2006, Visions for Children has been committed to ensuring that every child is given the opportunity to obtain a basic education with which they can acquire fundamental skills. We particularly build on and contribute to the fourth sustainability goal of the United Nations' Agenda 2030 - namely to ensure an equitable and high-quality education. We see schools as anchor points that give children the chance of a self-determined future by means of capacity building within the entire region.","Education","Germany",11
